typehus,grund,postnummer,adresse,vaerelse,href,energimaerke
Helårsgrund,"Vær.
0",8541 Skødstrup,Lauritshøj 17,,https://www.boligsiden.dk/arkiv/238054659,"Grund
742"
Villa,"Vær.
7",8462 Harlev J,Framlevvej 11,,https://www.boligsiden.dk/arkiv/946315563,"Grund
1.073"
Villa,"Vær.
6",8260 Viby J,Stampesvej 13,,https://www.boligsiden.dk/arkiv/386865360,"Grund
1.182"
Villa,"Vær.
5",8240 Risskov,Mågevej 14,,https://www.boligsiden.dk/arkiv/593073569,"Grund
729"
Ejerlejlighed,"Vær.
4",8000 Aarhus C,"Værkmestergade 25, 17.",,https://www.boligsiden.dk/arkiv/332168039,"Grund
-"
Rækkehus,"Vær.
4",8380 Trige,Gartnerparken 85,,https://www.boligsiden.dk/arkiv/892847913,"Grund
142"
Ejerlejlighed,"Vær.
2",8000 Aarhus C,"Frederiksbjerg Torv 3, 1. th",em em--d tooltip-theme-arrows tooltip-target,https://www.boligsiden.dk/arkiv/136494454,"Grund
-"
Ejerlejlighed,"Vær.
3",8200 Aarhus N,"Gyldenløvesgade 8, 1. th",em em--c tooltip-theme-arrows tooltip-target,https://www.boligsiden.dk/arkiv/553724525,"Grund
-"
Rækkehus,"Vær.
4",8220 Brabrand,Årslev Møllevej 3D,,https://www.boligsiden.dk/arkiv/937958344,"Grund
145"
Andelsbolig,"Vær.
4",8361 Hasselager,Porsevænget 29B,em em--b tooltip-theme-arrows tooltip-target,https://www.boligsiden.dk/arkiv/377036888,"Grund
-"
Andelsbolig,"Vær.
3",8220 Brabrand,"Engdalsvej 63 B, 3. tv",em em--d tooltip-theme-arrows tooltip-target,https://www.boligsiden.dk/arkiv/113582561,"Grund
-"
Helårsgrund,"Vær.
0",8462 Harlev J,Lilleringvej 48,,https://www.boligsiden.dk/arkiv/382518997,"Grund
803"
Villa,"Vær.
5",8210 Aarhus V,Bakkefaldet 3,,https://www.boligsiden.dk/arkiv/721392697,"Grund
575"
Villa,"Vær.
5",8260 Viby J,Råhøjen 3,,https://www.boligsiden.dk/arkiv/643485125,"Grund
598"
Ejerlejlighed,"Vær.
5",8000 Aarhus C,"Stadion Allé 62, ST., Kld.",,https://www.boligsiden.dk/arkiv/294962351,"Grund
-"
