typehus,vaerelse,postnummer,adresse,energimaerke,href,grundareal,antal_plan,boligareal,byggeaar,ejendomsvaerdi,liggetid_slut,liggetid_start,salgsdato,salgspris,udbudspris,varmekilde,ydervaegsmateriale,liggetid,afslag,kvadratmeterpris,salgsaar,salgsmaaned
Villa,5,8270 Højbjerg,Runegårdsvej 8,d,https://www.boligsiden.dk/arkiv/653579859,820,1,161,1961,2550000,2012-11-14,2012-10-30,2012-11-30,2450000,2698000,Fjernvarme/blokvarme (radiatorsystemer el. varmluftanlæg),"Mursten (tegl, kalksten, cementsten)",31,248000,15217,2012,11
Villa,5,8340 Malling,Starupvej 138,f,https://www.boligsiden.dk/arkiv/276111093,2192,1,224,1960,2450000,2017-05-24,2017-05-17,2017-08-14,3025000,3198000,"Centralvarme fra eget anlæg, etkammer fyr","Mursten (tegl, kalksten, cementsten)",89,173000,13504,2017,8
Villa,4,8240 Risskov,Hyldevej 16,d,https://www.boligsiden.dk/arkiv/328864268,821,1,158,1968,4500000,2012-07-28,2009-09-30,2015-04-25,7000000,6955000,Fjernvarme/blokvarme (radiatorsystemer el. varmluftanlæg),"Mursten (tegl, kalksten, cementsten)",2033,-45000,44303,2015,4
Villa,7,8220 Brabrand,Tingstedet 14,d,https://www.boligsiden.dk/arkiv/956796118,777,1,178,1968,2500000,2013-12-10,2013-05-31,2013-09-25,2850000,3100000,Fjernvarme/blokvarme (radiatorsystemer el. varmluftanlæg),"Mursten (tegl, kalksten, cementsten)",117,250000,16011,2013,9
Villa,5,8462 Harlev J,Engsvinget 29,e,https://www.boligsiden.dk/arkiv/268510126,1026,1,165,1973,1950000,2016-08-19,2016-07-18,2016-08-18,2374000,2399000,Fjernvarme/blokvarme (radiatorsystemer el. varmluftanlæg),"Mursten (tegl, kalksten, cementsten)",31,25000,14387,2016,8
Villa,3,8380 Trige,Holmkærvej 80,c,https://www.boligsiden.dk/arkiv/577970780,125,1,91,1987,1050000,2012-03-01,2009-10-29,2011-12-14,1165000,1299000,Fjernvarme/blokvarme (radiatorsystemer el. varmluftanlæg),"Mursten (tegl, kalksten, cementsten)",776,134000,12802,2011,12
Rækkehus,5,8200 Aarhus N,Ivar Huitfeldts Gade 62,f,https://www.boligsiden.dk/arkiv/559182173,260,2,168,1928,4300000,2013-03-01,2009-11-17,2013-02-01,3900000,4195000,Fjernvarme/blokvarme (radiatorsystemer el. varmluftanlæg),"Mursten (tegl, kalksten, cementsten)",1172,295000,23214,2013,2
Villa,6,8220 Brabrand,Sivsangervej 8,d,https://www.boligsiden.dk/arkiv/923599667,936,1,225,1976,3500000,2012-11-09,2012-09-02,2013-04-04,1400000,3398000,Fjernvarme/blokvarme (radiatorsystemer el. varmluftanlæg),"Mursten (tegl, kalksten, cementsten)",214,1998000,6222,2013,4
Villa,10,8462 Harlev J,Grønhøjvej 37,d,https://www.boligsiden.dk/arkiv/858207512,795,1,133,1972,1800000,2012-02-18,2010-01-13,2014-07-08,980000,1995000,Fjernvarme/blokvarme (radiatorsystemer el. varmluftanlæg),"Mursten (tegl, kalksten, cementsten)",1637,1015000,7368,2014,7
Villa,6,8260 Viby J,Reventlowsvej 46,c,https://www.boligsiden.dk/arkiv/535000215,788,1,169,1952,2650000,2012-06-21,2012-01-31,2012-06-20,3400000,3598000,Fjernvarme/blokvarme (radiatorsystemer el. varmluftanlæg),"Mursten (tegl, kalksten, cementsten)",141,198000,20118,2012,6
Villa,7,8000 Aarhus C,Dalgas Avenue 45,d,https://www.boligsiden.dk/arkiv/575829076,902,1,166,1947,3950000,2013-05-08,2013-03-04,2013-07-16,6300000,6500000,Fjernvarme/blokvarme (radiatorsystemer el. varmluftanlæg),"Mursten (tegl, kalksten, cementsten)",134,200000,37951,2013,7
Villa,6,8260 Viby J,Abildhøjvej 12,f,https://www.boligsiden.dk/arkiv/867771980,733,1,156,1969,1750000,2014-04-17,2014-01-27,2014-08-04,2500000,2645000,Fjernvarme/blokvarme (radiatorsystemer el. varmluftanlæg),"Mursten (tegl, kalksten, cementsten)",189,145000,16025,2014,8
Villa,8,8270 Højbjerg,Arnakvænge 11,c,https://www.boligsiden.dk/arkiv/756872231,1366,1,200,1971,4450000,2017-07-24,2017-07-07,2017-07-19,7450000,7650000,Fjernvarme/blokvarme (radiatorsystemer el. varmluftanlæg),"Mursten (tegl, kalksten, cementsten)",12,200000,37250,2017,7
Villa,6,8270 Højbjerg,Brunbakkevej 26,f,https://www.boligsiden.dk/arkiv/931660323,1644,1,152,1958,2750000,2012-11-29,2012-11-04,2012-11-27,2782500,3098000,Fjernvarme/blokvarme (radiatorsystemer el. varmluftanlæg),"Mursten (tegl, kalksten, cementsten)",23,315500,18305,2012,11
Villa,8,8270 Højbjerg,Søsterhøjvej 37,d,https://www.boligsiden.dk/arkiv/998742901,932,1,234,1982,4000000,2012-03-01,2010-03-26,2011-11-12,4150000,4575000,"Centralvarme fra eget anlæg, etkammer fyr","Mursten (tegl, kalksten, cementsten)",596,425000,17735,2011,11
Villa,7,8270 Højbjerg,Runegårdsvej 30,c,https://www.boligsiden.dk/arkiv/865723270,774,1,170,1951,2700000,2013-06-06,2010-03-30,2013-05-31,3500000,3775000,Fjernvarme/blokvarme (radiatorsystemer el. varmluftanlæg),"Mursten (tegl, kalksten, cementsten)",1158,275000,20588,2013,5
